               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.023523,           0.0081236,            0.018348,             0.92851,             0.69339,             0.78367,             0.58626,            0.023665,           0.0056865,            0.021545,            0.007624,            0.007624,            0.007624
                 122,            0.023977,           0.0079797,            0.017076,             0.86861,             0.72429,             0.77719,             0.59908,            0.020401,           0.0058177,             0.02657,           0.0076042,           0.0076042,           0.0076042
                 123,            0.023632,           0.0081636,            0.017579,             0.84578,             0.74944,             0.77545,             0.60319,            0.022371,           0.0053761,            0.022609,           0.0075844,           0.0075844,           0.0075844
                 124,            0.023491,           0.0080579,            0.019393,             0.88957,             0.67942,             0.77002,             0.56692,            0.024319,           0.0046572,            0.024528,           0.0075646,           0.0075646,           0.0075646
                 125,            0.023624,           0.0082811,            0.019375,             0.82714,             0.66576,              0.7203,             0.56522,            0.024241,            0.006306,            0.024952,           0.0075448,           0.0075448,           0.0075448
                 126,            0.023661,           0.0080305,            0.019217,              0.8911,             0.69352,             0.76835,             0.61063,            0.023203,           0.0057068,            0.020005,            0.007525,            0.007525,            0.007525
                 127,            0.023083,           0.0081353,            0.017573,             0.88289,             0.68423,             0.75047,             0.58394,            0.021317,            0.005653,            0.023998,           0.0075052,           0.0075052,           0.0075052
                 128,            0.023841,            0.007997,            0.017999,             0.81841,             0.71268,             0.75212,             0.55998,            0.023735,           0.0056862,            0.029032,           0.0074854,           0.0074854,           0.0074854
                 129,            0.022731,           0.0079811,            0.015875,             0.92953,             0.67477,               0.789,             0.59248,            0.024591,           0.0051637,            0.022338,           0.0074656,           0.0074656,           0.0074656
                 130,            0.023988,           0.0078497,            0.015981,             0.87331,              0.6882,             0.76102,             0.60348,            0.021877,           0.0059452,            0.023296,           0.0074458,           0.0074458,           0.0074458
                 131,            0.022566,           0.0078655,             0.01705,              0.8992,             0.68817,             0.78995,             0.60671,            0.022507,           0.0047244,            0.023359,            0.007426,            0.007426,            0.007426
                 132,            0.023457,           0.0078096,            0.016701,             0.87132,             0.72801,             0.77083,             0.57833,            0.024661,           0.0054577,            0.021698,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023671,           0.0079227,            0.017923,             0.88035,              0.6534,             0.74314,              0.6043,            0.021803,           0.0050947,            0.027442,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02264,           0.0078664,            0.016068,             0.81821,             0.69806,             0.76036,             0.60568,            0.024491,           0.0048227,             0.02394,           0.0073666,           0.0073666,           0.0073666
                 135,            0.023779,           0.0081527,            0.017099,             0.85484,             0.68788,             0.76992,             0.59933,            0.022896,            0.005133,            0.023377,           0.0073468,           0.0073468,           0.0073468
                 136,            0.023677,           0.0081264,            0.017503,             0.88427,             0.71426,             0.78399,             0.61256,            0.021177,           0.0049198,            0.023651,            0.007327,            0.007327,            0.007327
                 137,            0.023142,           0.0081614,            0.015633,              0.7896,             0.74081,             0.77027,             0.58131,            0.022255,           0.0060085,            0.023177,           0.0073072,           0.0073072,           0.0073072
                 138,            0.023176,           0.0079815,            0.016952,             0.86277,             0.76161,             0.78547,              0.6068,            0.021514,           0.0044874,              0.0224,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022167,           0.0080943,             0.01761,             0.87567,             0.71764,             0.77735,             0.60021,            0.020224,           0.0049613,            0.021745,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023715,           0.0079616,            0.019623,             0.89664,             0.66459,             0.74155,             0.55461,            0.023278,           0.0053278,            0.023223,           0.0072478,           0.0072478,           0.0072478
                 141,            0.022985,           0.0080798,            0.018747,              0.8463,             0.68293,             0.75486,             0.52938,            0.026264,           0.0055148,            0.021428,            0.007228,            0.007228,            0.007228
                 142,            0.021891,           0.0077775,            0.015582,             0.86781,             0.70403,             0.76351,             0.59937,            0.021261,           0.0051648,            0.026704,           0.0072082,           0.0072082,           0.0072082
                 143,            0.022105,           0.0077449,            0.014477,             0.84313,             0.72867,             0.77367,             0.59165,            0.021147,           0.0057651,            0.022979,           0.0071884,           0.0071884,           0.0071884
                 144,            0.022879,           0.0079462,             0.01615,             0.93993,             0.65701,             0.76936,             0.59299,            0.020259,           0.0058956,            0.022006,           0.0071686,           0.0071686,           0.0071686
                 145,            0.022399,           0.0080505,            0.015226,             0.87911,             0.73537,             0.78566,              0.6345,            0.020136,           0.0050988,             0.02299,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022455,           0.0078233,            0.016108,              0.8613,             0.68804,              0.7523,             0.57259,            0.021545,           0.0051849,            0.027394,            0.007129,            0.007129,            0.007129
                 147,            0.022164,           0.0079116,            0.014668,             0.84083,             0.69785,             0.75748,             0.56949,            0.022325,           0.0055766,            0.021186,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023188,           0.0079174,            0.016431,             0.90989,             0.66938,             0.77491,             0.60036,            0.019751,           0.0054313,            0.021699,           0.0070894,           0.0070894,           0.0070894
                 149,            0.023042,            0.007836,             0.01477,             0.90714,             0.70554,             0.78445,             0.61045,            0.019566,           0.0052647,            0.021339,           0.0070696,           0.0070696,           0.0070696
                 150,            0.021826,           0.0076938,            0.015097,             0.90312,              0.6734,             0.77017,             0.59166,            0.019208,           0.0052717,            0.021759,           0.0070498,           0.0070498,           0.0070498
                 151,            0.022928,           0.0079094,            0.016582,             0.89519,             0.70587,             0.79341,             0.62345,            0.018817,           0.0057247,            0.022243,             0.00703,             0.00703,             0.00703
                 152,            0.022643,           0.0078881,            0.017897,             0.90661,             0.71227,             0.77105,               0.592,            0.022739,           0.0059414,            0.022501,           0.0070102,           0.0070102,           0.0070102
                 153,            0.022324,           0.0077374,            0.015189,             0.87879,             0.71503,             0.77478,             0.59578,            0.020871,           0.0052873,            0.024829,           0.0069904,           0.0069904,           0.0069904
